id,author,points
1000,user0,0
1001,user1,1
1002,user2,2
1003,user3,3
1004,user4,4
1005,user5,5
1006,user6,6
1007,user7,0
1008,user8,1
1009,user9,2
1010,user10,3
1011,user11,4
1012,user12,5
1013,user13,6
1014,user14,0
1015,user15,1
1016,user16,2
1017,user17,3
1018,user18,4
1019,user19,5
1020,user20,6
1021,user21,0
1022,user22,1
1023,user23,2
1024,user24,3
1025,user0,4
1026,user1,5
1027,user2,6
1028,user3,0
1029,user4,1
1030,user5,2
1031,user6,3
1032,user7,4
1033,user8,5
1034,user9,6
1035,user10,0
1036,user11,1
1037,user12,2
1038,user13,3
1039,user14,4
